"","Nome","upp","Complexo","OBJECTID_1","OBJECTID","Codfavela","Cod_Comple","Flag_Ativa","Data_Cadas","Data_saida","Data_Alter","Pop_SABREN","Dom_SABREN","Fonte","Bairro_","RP","RA","AP","Porte","Shape_ST_1","Shape_ST_2","ShapeSTAre","ShapeSTLen","data_ocupacao","data_fim","Treatment","year.occupation","month.occupation","day.occupation","year.fim","month.fim","day.fim"
"1","1º de Abril","N","Nova Jersei","266","266","699","2136","1","2002-05-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1394","404","IBGE - Censo Demográfico 2010","0","5.1","17","5","entre 101 e 500 domicílios",2598.45383149,114188.729472,114188.727539062,2598.45383149175,NA,NA,0,NA,NA,NA,NA,NA,NA
"2","1º de Abril - Gouveia","N","Nova Jersei","975","976","937","2136","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","180","46","IBGE - Censo Demográfico 2010","0","5.3","19","5","< 100 domicílios",951.94001697,13646.0721329,13646.0717773438,951.940016969695,NA,NA,0,NA,NA,NA,NA,NA,NA
"3","27 de Setembro","N","Isolada","56","56","667","0","1","2002-03-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","403","130","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",401.77090445,8575.4845966,8575.484375,401.770904450793,NA,NA,0,NA,NA,NA,NA,NA,NA
"4","29 de Março","N","Vila Vitória (RA-Campo Grande)","252","252","726","2133","1","2003-02-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1278","382","IBGE - Censo Demográfico 2010","0","5.3","19","5","entre 101 e 500 domicílios",2365.0117733,78402.8311494,78402.8276367188,2365.0117733019,NA,NA,0,NA,NA,NA,NA,NA,NA
"5","A. M. Mário Larrubia","N","Isolada","291","291","1026","0","1","2009-03-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","519","168","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",1487.1837027,27092.5424602,27092.5415039062,1487.18370270421,NA,NA,0,NA,NA,NA,NA,NA,NA
"6","A. M. Pro-Melhoramento Olavo Gama e Adjacências","N","Largo do Corrêa 1","293","293","584","2144","1","1995-06-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1351","391","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",2679.93740826,110722.2462,110722.250488281,2679.937408277,NA,NA,0,NA,NA,NA,NA,NA,NA
"7","A. M. São Sebastião","N","Barão","174","174","1047","2090","1","2009-03-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","69","18","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",221.10911138,3058.96786742,3058.9677734375,221.109111382891,NA,NA,0,NA,NA,NA,NA,NA,NA
"8","A.M. Amigos dos Teixeiras","N","Isolada","230","230","1038","0","1","2009-03-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","747","240","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","33","5","entre 101 e 500 domicílios",1583.25970907,37928.8536127,37928.8530273438,1583.25970906405,NA,NA,0,NA,NA,NA,NA,NA,NA
"9","A.M. Barra América","N","Isolada","15","15","799","0","1","2004-01-01T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","198","57","IBGE - Censo Demográfico 2010","0","4.2","24","4","< 100 domicílios",284.3958574,4313.63317257,4313.63330078125,284.395857399958,NA,NA,0,NA,NA,NA,NA,NA,NA
"10","A.M. da Ilha de Guaratiba","N","Caminho do Abreu","319","319","581","2142","1","1995-05-18T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","320","80","IBGE - Censo Demográfico 2010","0","5.4","26","5","< 100 domicílios",1342.55394724,24825.619925,24825.6215820312,1342.55394725509,NA,NA,0,NA,NA,NA,NA,NA,NA
"11","A.M. da Matriz","N","Isolada","305","305","582","0","1","1995-05-18T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","971","299","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",3039.80059158,102747.484536,102747.479003906,3039.80059158669,NA,NA,0,NA,NA,NA,NA,NA,NA
"12","A.M. do Morro do Vigário","N","Isolada","353","353","615","0","1","1995-06-22T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","257","95","IBGE - Censo Demográfico 2010","0","1.1","21","1","< 100 domicílios",482.52345579,9777.01973149,9777.0205078125,482.523455785213,NA,NA,0,NA,NA,NA,NA,NA,NA
"13","A.M. do Rio Bonito","N","Isolada","313","313","388","0","1","1995-05-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","632","196","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",1688.44903118,24700.9061921,24700.9047851562,1688.44903118876,NA,NA,0,NA,NA,NA,NA,NA,NA
"14","A.M. do Vale do Curicica","N","Isolada","48","48","590","0","1","1995-04-04T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1784","561","IBGE - Censo Demográfico 2010","0","4.1","16","4","> 500 domicílios",2223.50470206,73690.5966003,73690.59375,2223.50470205884,NA,NA,0,NA,NA,NA,NA,NA,NA
"15","A.M. e Amigos de Rio das Pedras","N","Rio das Pedras","77","77","587","2098","1","1995-05-06T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","8677","3439","IBGE - Censo Demográfico 2010","0","4.1","16","4","> 500 domicílios",1662.5683149,68311.2505601,68311.2470703125,1662.56831489459,NA,NA,0,NA,NA,NA,NA,NA,NA
"16","A.M. e Amigos de Santa Tereza","N","Vila Paraíso","868","869","625","2014","1","1995-05-29T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","157","57","IBGE - Censo Demográfico 2010","0","1.1","23","1","< 100 domicílios",283.40253709,4317.48822258,4317.48779296875,283.40253709259,NA,NA,0,NA,NA,NA,NA,NA,NA
"17","A.M. e Amigos do Fontela","N","Isolada","406","406","459","0","1","1995-05-10T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1652","500","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",3963.76283478,107182.213507,107182.210449219,3963.76283478502,NA,NA,0,NA,NA,NA,NA,NA,NA
"18","A.M. e Amigos do Vale","Coroa / Fallet / Fogueteiro","Unidos de Santa Tereza","919","920","579","2013","1","1995-06-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","161","45","IBGE - Censo Demográfico 2010","0","1.1","23","1","< 100 domicílios",786.9017236,17762.1155951,17762.1162109375,786.901723598934,"2011-01-06",2018-12-01,1,2011,1,6,2018,12,1
"19","A.M. e Comunidade Nª. Sª. de Fátima","N","Shangrilá","220","220","476","2100","1","1995-05-30T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","854","275","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",573.81961868,14586.3676878,14586.3666992188,573.819618678481,NA,NA,0,NA,NA,NA,NA,NA,NA
"20","A.M. Morada do Magarça","N","Isolada","281","281","585","0","1","1995-05-17T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","391","117","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",935.84313094,25662.7704902,25662.7680664062,935.84313094029,NA,NA,0,NA,NA,NA,NA,NA,NA
"21","A.M. Novo Rio de Jacarepaguá","N","Canal do Anil","80","80","801","2091","1","2004-01-01T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1038","313","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",903.80939006,41901.5668126,41901.5673828125,903.80939006053,NA,NA,0,NA,NA,NA,NA,NA,NA
"22","Abadianas","N","Asa Branca","31","31","465","2089","1","1991-08-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","957","312","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",1195.27887041,25999.6715151,25999.6708984375,1195.27887040697,NA,NA,0,NA,NA,NA,NA,NA,NA
"23","Açude da Solidão","N","Isolada","835","836","775","0","1","2002-12-13T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","60","20","IPP com base em IBGE - Censo Demográfico 2010","0","2.2","8","2","< 100 domicílios",262.28232878,3314.85319374,3314.853515625,262.282328781398,NA,NA,0,NA,NA,NA,NA,NA,NA
"24","Afonso Viseu","N","Isolada","275","275","837","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","106","30","IPP com base em IBGE - Censo Demográfico 2010","0","5.2","18","5","< 100 domicílios",317.85950931,5301.84151053,5301.84130859375,317.859509307533,NA,NA,0,NA,NA,NA,NA,NA,NA
"25","Agrícola","N","Agrícola","846","847","396","2104","1","1986-04-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","505","159","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",1594.23042258,59552.3773213,59552.3779296875,1594.23042258484,NA,NA,0,NA,NA,NA,NA,NA,NA
"26","Águia Dourada","N","Vila Joaniza","1018","1019","653","2067","1","2002-04-11T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1030","318","IBGE - Censo Demográfico 2010","0","3.7","20","3","entre 101 e 500 domicílios",1779.37080822,75768.5947618,75768.5981445312,1779.37080821549,NA,NA,0,NA,NA,NA,NA,NA,NA
"27","Alameda da Creche","N","Vila do Vintém","440","440","540","2113","1","1991-11-19T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","234","75","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","33","5","< 100 domicílios",307.73049236,4419.8828758,4419.88330078125,307.73049235751,NA,NA,0,NA,NA,NA,NA,NA,NA
"28","Almirante Tamandaré","N","Gleba I, da Antiga Fazenda Botafogo","548","548","325","2077","1","1981-09-07T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","270","79","IPP com base em IBGE - Censo Demográfico 2010","0","3.6","25","3","< 100 domicílios",480.63581684,9660.89827339,9660.89892578125,480.635816839258,NA,NA,0,NA,NA,NA,NA,NA,NA
"29","Alto Bela Vista","N","Isolada","58","58","474","0","1","1991-08-02T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1485","455","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",977.15238129,30045.0441683,30045.0444335938,977.15238128779,NA,NA,0,NA,NA,NA,NA,NA,NA
"30","Alto Kennedy","Vila Kennedy","Alto Kennedy","413","413","691","2116","1","2002-04-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2674","757","IBGE - Censo Demográfico 2010","0","5.1","17","5","> 500 domicílios",4235.8267953,120144.168416,120144.161621094,4235.82679529936,"2014-03-13",2018-06-01,1,2014,3,13,2018,6,1
"31","Amigos da Aerobita","N","Barão","150","150","960","2090","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","119","31","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",1002.13514396,10133.4045258,10133.40625,1002.1351439617,NA,NA,0,NA,NA,NA,NA,NA,NA
"32","Anastácia","N","Isolada","867","868","855","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","108","38","IPP com base em IBGE - Censo Demográfico 2010","0","1.1","2","1","< 100 domicílios",176.46187429,1942.73061585,1942.73046875,176.461874292601,NA,NA,0,NA,NA,NA,NA,NA,NA
"33","André Cavalcanti","N","Isolada","802","803","438","0","1","1990-02-02T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","153","55","IPP com base em IBGE - Censo Demográfico 2010","0","1.1","23","1","< 100 domicílios",248.36943407,3415.8196113,3415.8193359375,248.369434065678,NA,NA,0,NA,NA,NA,NA,NA,NA
"34","André Rocha","N","André Rocha","54","54","472","2087","1","1991-08-19T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","879","287","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",852.05879852,25722.7151806,25722.71484375,852.058798514815,NA,NA,0,NA,NA,NA,NA,NA,NA
"35","Anes Dias","N","Fazenda Coqueiro","606","606","285","2118","1","1981-10-06T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","331","113","IBGE - Censo Demográfico 2010","0","5.2","18","5","entre 101 e 500 domicílios",418.80969044,9203.17553588,9203.173828125,418.809690443201,NA,NA,0,NA,NA,NA,NA,NA,NA
"36","Angu Duro","N","Isolada","73","73","361","0","1","1981-09-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","493","152","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",883.35384574,18274.3326388,18274.3305664062,883.353845738214,NA,NA,0,NA,NA,NA,NA,NA,NA
"37","Antiga Company","Jacarezinho","Jacarezinho","762","763","911","2083","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","24","7","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","< 100 domicílios",161.80144878,1459.53095924,1459.53125,161.801448780417,"2012-10-14",NA,1,2012,10,14,NA,NA,NA
"38","Antiga Creche","N","Colônia Juliano Moreira","43","43","650","2092","1","2002-03-26T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","3096","1001","IBGE - Censo Demográfico 2010","0","4.1","16","4","> 500 domicílios",2288.50214125,91531.3973989,91531.3955078125,2288.50214124784,NA,NA,0,NA,NA,NA,NA,NA,NA
"39","Araguatins","N","Araguatins","497","497","345","2074","1","1981-09-22T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","149","45","IPP com base em IBGE - Censo Demográfico 2010","0","3.6","25","3","< 100 domicílios",828.07261999,5117.4022906,5117.4013671875,828.072619990948,NA,NA,0,NA,NA,NA,NA,NA,NA
"40","Araticum","N","Araticum","88","88","237","2088","1","1981-09-08T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2300","718","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","> 500 domicílios",1656.45385158,46982.4007646,46982.3999023438,1656.45385157645,NA,NA,0,NA,NA,NA,NA,NA,NA
"41","Areal","N","Areal","295","295","634","2140","1","2004-01-01T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2526","779","IBGE - Censo Demográfico 2010","0","5.4","26","5","> 500 domicílios",2050.73818088,191779.262068,191779.259765625,2050.73818087679,NA,NA,0,NA,NA,NA,NA,NA,NA
"42","Arrelia","Andaraí","Andaraí","852","853","75","2025","1","1981-05-04T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1972","606","IBGE - Censo Demográfico 2010","0","2.2","9","2","> 500 domicílios",2442.68549255,110475.492319,110475.491210938,2442.68549255059,"2010-06-11",NA,1,2010,6,11,NA,NA,NA
"43","Asa Branca","N","Asa Branca","32","32","464","2089","1","1991-09-05T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","3295","1069","IBGE - Censo Demográfico 2010","0","4.1","16","4","> 500 domicílios",1732.64125269,76215.0536092,76215.0541992188,1732.64125268827,NA,NA,0,NA,NA,NA,NA,NA,NA
"44","Assis Martins","N","Rua Embiri","130","130","536","2057","1","1991-11-25T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","56","16","IBGE - Censo Demográfico 2010","0","3.3","15","3","< 100 domicílios",189.38683747,2144.2196641,2144.22021484375,189.386837477983,NA,NA,0,NA,NA,NA,NA,NA,NA
"45","Associação Belfast São Geraldo","N","Isolada","104","104","378","0","1","1995-05-09T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","425","129","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",641.90705814,14468.8200125,14468.8198242188,641.907058139132,NA,NA,0,NA,NA,NA,NA,NA,NA
"46","Associação Comunitária Vila Alvorada","N","Associação Comunitária Vila Alvorada","503","503","622","2068","1","1995-04-19T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1090","366","IBGE - Censo Demográfico 2010","0","3.6","22","3","entre 101 e 500 domicílios",1080.63804184,29255.685641,29255.685546875,1080.63804184261,NA,NA,0,NA,NA,NA,NA,NA,NA
"47","Av. das Américas, Km 37","N","Isolada","298","298","700","0","1","2002-05-10T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1180","368","IPP com base em IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",5981.1169401,68358.8948457,68358.8930664062,5981.1169401091,NA,NA,0,NA,NA,NA,NA,NA,NA
"48","Av. Santa Cruz, nº 3.556","N","Isolada","444","444","722","0","1","2003-02-11T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","144","42","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","17","5","< 100 domicílios",272.12988349,4516.94917569,4516.94970703125,272.129883488691,NA,NA,0,NA,NA,NA,NA,NA,NA
"49","Avenida","N","Avenida","499","499","326","2069","1","1981-09-22T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","28","9","IPP com base em IBGE - Censo Demográfico 2010","0","3.6","22","3","< 100 domicílios",1213.79046531,13721.9636038,13721.9633789062,1213.79046531193,NA,NA,0,NA,NA,NA,NA,NA,NA
"50","Avenida 5 - Tijolinho","N","Isolada","391","391","1020","0","1","2009-03-16T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","86","31","IPP com base em IBGE - Censo Demográfico 2010","0","5.3","19","5","< 100 domicílios",557.90881918,4119.529901,4119.52978515625,557.908819186436,NA,NA,0,NA,NA,NA,NA,NA,NA
"51","Avenida Automóvel Clube, nº 5.002","N","Isolada","700","701","1013","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","36","13","IPP com base em IBGE - Censo Demográfico 2010","0","3.3","14","3","< 100 domicílios",208.98360651,1548.4444708,1548.4443359375,208.983606515835,NA,NA,0,NA,NA,NA,NA,NA,NA
"52","Avenida Automóvel Clube, nº 8.340","N","Isolada","566","566","190","0","1","1981-09-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","352","93","IBGE - Censo Demográfico 2010","0","3.3","14","3","< 100 domicílios",561.91548923,7267.8321952,7267.83203125,561.915489232718,NA,NA,0,NA,NA,NA,NA,NA,NA
"53","Avenida Brasil","N","Parque Itambé","685","686","962","2027","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1602","492","IBGE - Censo Demográfico 2010","0","3.1","10","3","entre 101 e 500 domicílios",662.90350145,15955.9601915,15955.9604492188,662.9035014528,NA,NA,0,NA,NA,NA,NA,NA,NA
"54","Avenida Brasil (Bairro Batam)","Batam","Isolada","189","189","970","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","221","66","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","33","5","< 100 domicílios",351.79195359,6416.1598515,6416.1591796875,351.791953585941,"2008-07-12",2018-05-01,1,2008,7,12,2018,5,1
"55","Avenida Canal","Maré","Isolada","679","680","1076","0","1","2009-05-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","319","105","IBGE - Censo Demográfico 2010","0","3.1","30","3","entre 101 e 500 domicílios",1912.35413779,24314.5322551,24314.5336914062,1912.35413779405,"2014-03-30",NA,1,2014,3,30,NA,NA,NA
"56","Avenida Canal II","Maré","Isolada","358","358","1077","0","1","2009-05-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","12","5","IPP com base em IBGE - Censo Demográfico 2010","0","3.1","30","3","< 100 domicílios",520.57208051,1836.72043369,1836.72021484375,520.572080509089,"2014-03-30",NA,1,2014,3,30,NA,NA,NA
"57","Avenida das Lagoas","N","Canal do Anil","85","85","549","2091","1","1991-08-22T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1076","386","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",987.1341817,23558.6748463,23558.673828125,987.134181696126,NA,NA,0,NA,NA,NA,NA,NA,NA
"58","Avenida do Corretor","N","Isolada","439","439","1078","0","1","2009-05-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","474","149","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","17","5","entre 101 e 500 domicílios",1091.662683,9571.20550791,9571.205078125,1091.66268300072,NA,NA,0,NA,NA,NA,NA,NA,NA
"59","Avenida do Tenente","N","Isolada","578","578","202","0","1","1981-08-31T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","188","53","IBGE - Censo Demográfico 2010","0","3.3","15","3","< 100 domicílios",313.9321906,4243.82364807,4243.82373046875,313.932190608248,NA,NA,0,NA,NA,NA,NA,NA,NA
"60","Avenida Dom Helder Câmara, nº 9.991 (rua Silvério, nº 79)","N","Isolada","156","156","852","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","133","43","IPP com base em IBGE - Censo Demográfico 2010","0","3.3","15","3","< 100 domicílios",204.76388102,2044.81323339,2044.8125,204.763881019983,NA,NA,0,NA,NA,NA,NA,NA,NA
"61","Avenida dos Campeões - Praça Elói de Andrade","N","Isolada","671","672","1086","0","1","2011-02-08T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","154","47","IPP com base em IBGE - Censo Demográfico 2010","0","3.1","10","3","< 100 domicílios",128.48177969,840.55447057,840.5546875,128.481779687439,NA,NA,0,NA,NA,NA,NA,NA,NA
"62","Avenida dos Eucaliptos, 28","N","Isolada","5","5","794","0","1","2002-12-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","119","37","IPP com base em IBGE - Censo Demográfico 2010","0","4.2","24","4","< 100 domicílios",253.90570243,3035.96808301,3035.96875,253.905702429992,NA,NA,0,NA,NA,NA,NA,NA,NA
"63","Avenida Gaspar Lemos (próxima ao nº 11)","N","Isolada","308","308","883","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","144","45","IPP com base em IBGE - Censo Demográfico 2010","0","5.4","26","5","< 100 domicílios",155.86051876,1367.14398475,1367.1435546875,155.86051875716,NA,NA,0,NA,NA,NA,NA,NA,NA
"64","Avenida Guia Lopes","N","Isolada","110","110","761","0","1","2003-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","110","35","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",511.52936198,4472.49353882,4472.49462890625,511.5293619835,NA,NA,0,NA,NA,NA,NA,NA,NA
"65","Avenida Guiomar Novaes","N","Isolada","9","9","974","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","119","40","IBGE - Censo Demográfico 2010","0","4.2","24","4","< 100 domicílios",164.41512144,1215.2462844,1215.24560546875,164.415121440073,NA,NA,0,NA,NA,NA,NA,NA,NA
"66","Avenida João XXIII, nº 300","N","Isolada","385","385","297","0","1","1981-09-25T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","660","209","IBGE - Censo Demográfico 2010","0","5.3","19","5","entre 101 e 500 domicílios",1912.57945266,66098.1246935,66098.1259765625,1912.57945264864,NA,NA,0,NA,NA,NA,NA,NA,NA
"67","Avenida Joaquim Magalhães, nº 499","N","Marcondes da Luz","617","617","997","2127","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","82","24","IBGE - Censo Demográfico 2010","0","5.2","18","5","< 100 domicílios",215.15657512,2709.9065576,2709.90625,215.15657512307,NA,NA,0,NA,NA,NA,NA,NA,NA
"68","Avenida Menezes Cortes (com Estrada dos Três Rios)","N","Isolada","117","117","913","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","50","17","IPP com base em IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",245.80251381,2275.82567796,2275.82568359375,245.802513810638,NA,NA,0,NA,NA,NA,NA,NA,NA
"69","Avenida Menezes Cortes, nº 12","N","Isolada","791","792","912","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","0","0",NA,"0","4.1","16","4","sem informação",424.07616591,4930.8612867,4930.8603515625,424.076165913464,NA,NA,0,NA,NA,NA,NA,NA,NA
"70","Avenida Meriti, nº 4.483","N","Isolada","506","506","664","0","1","2002-04-09T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2098","668","IPP com base em IBGE - Censo Demográfico 2010","0","3.3","14","3","> 500 domicílios",3451.7655683,67439.6684737,67439.6665039062,3451.76556832685,NA,NA,0,NA,NA,NA,NA,NA,NA
"71","Avenida Sampaio Correa","N","Colônia Juliano Moreira","60","60","918","2092","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","139","45","IBGE - Censo Demográfico 2010","0","4.1","16","4","< 100 domicílios",1022.17657815,24165.0748317,24165.0766601562,1022.17657814583,NA,NA,0,NA,NA,NA,NA,NA,NA
"72","Avenida Silvério","N","Estrada do Magarça","285","285","892","2143","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","396","114","IBGE - Censo Demográfico 2010","0","5.4","26","5","entre 101 e 500 domicílios",852.68717463,21007.7696353,21007.76953125,852.687174625837,NA,NA,0,NA,NA,NA,NA,NA,NA
"73","Avenida Silvério (Rua Palhano)","N","Estrada do Magarça","284","284","891","2143","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","216","70","IBGE - Censo Demográfico 2010","0","5.4","26","5","< 100 domicílios",548.4222698,13838.1552109,13838.1552734375,548.422269800141,NA,NA,0,NA,NA,NA,NA,NA,NA
"74","Avenida Teixeira de Castro","N","Parque Itambé","672","673","961","2027","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","802","265","IBGE - Censo Demográfico 2010","0","3.1","10","3","entre 101 e 500 domicílios",221.39765775,2378.33839113,2378.3388671875,221.397657753785,NA,NA,0,NA,NA,NA,NA,NA,NA
"75","Azevedo Lima","São Carlos","São Carlos","928","929","11","2005","1","1981-08-19T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2233","632","IPP com base em IBGE - Censo Demográfico 2010","0","1.1","3","1","> 500 domicílios",2328.13863377,82728.1741817,82728.1752929688,2328.1386337541,"2011-01-06",2018-10-01,1,2011,1,6,2018,10,1
"76","B-1","N","Isolada","770","771","1105","0","1","2011-02-08T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","88","25","IPP com base em IBGE - Censo Demográfico 2010","0","3.4","12","3","< 100 domicílios",553.06862037,3167.21448146,3167.2158203125,553.068620363084,NA,NA,0,NA,NA,NA,NA,NA,NA
"77","Babilônia","Chapéu Mangueira / Babilônia","Babilônia","812","813","35","2017","1","1981-07-23T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2451","777","IBGE - Censo Demográfico 2010","0","2.1","5","2","> 500 domicílios",2269.93664794,85955.4858992,85955.486328125,2269.93664791904,"2009-05-11",NA,1,2009,5,11,NA,NA,NA
"78","Bairro ABC","N","Isolada","304","304","898","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","165","47","IPP com base em IBGE - Censo Demográfico 2010","0","5.4","26","5","< 100 domicílios",413.64312279,4879.89726774,4879.896484375,413.643122781964,NA,NA,0,NA,NA,NA,NA,NA,NA
"79","Bairro Agulhas Negras","N","Isolada","373","373","642","0","1","2000-10-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","3016","838","IBGE - Censo Demográfico 2010","0","5.2","18","5","> 500 domicílios",2337.75353297,131370.757444,131370.756835938,2337.75353296873,NA,NA,0,NA,NA,NA,NA,NA,NA
