"","Nome","upp","Complexo","OBJECTID_1","OBJECTID","Codfavela","Cod_Comple","Flag_Ativa","Data_Cadas","Data_saida","Data_Alter","Pop_SABREN","Dom_SABREN","Fonte","Bairro_","RP","RA","AP","Porte","Shape_ST_1","Shape_ST_2","ShapeSTAre","ShapeSTLen","data_ocupacao","data_fim","Treatment","year.occupation","month.occupation","day.occupation","year.fim","month.fim","day.fim"
"886","Vila Aliança (Av. do Corretor)","N","Isolada","438","438","820","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","206","65","IBGE - Censo Demográfico 2010","0","5.1","17","5","< 100 domicílios",840.64918942,11455.0049945,11455.0048828125,840.64918942303,NA,NA,0,NA,NA,NA,NA,NA,NA
"887","Vila Aliança (loteamento Rua do Lúcio)","N","Fazenda Coqueiro","431","431","818","2118","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","485","136","IBGE - Censo Demográfico 2010","0","5.1","17","5","entre 101 e 500 domicílios",936.52882794,22034.4246339,22034.4243164062,936.52882793828,NA,NA,0,NA,NA,NA,NA,NA,NA
"888","Vila Alzira","N","Vila São Miguel","196","196","968","2115","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","149","48","IPP com base em IBGE - Censo Demográfico 2010","0","5.1","33","5","< 100 domicílios",367.02920558,3298.23482823,3298.23388671875,367.029205585477,NA,NA,0,NA,NA,NA,NA,NA,NA
"889","Vila Amaral","N","Vila Nova da Pavuna","514","514","676","2082","1","2002-04-04T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","567","188","IBGE - Censo Demográfico 2010","0","3.6","25","3","entre 101 e 500 domicílios",997.58225343,23316.938637,23316.9379882812,997.582253431707,NA,NA,0,NA,NA,NA,NA,NA,NA
"890","Vila Amizade","N","Canal das Tachas","11","11","457","2105","1","1991-08-06T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1424","453","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",656.37430019,14238.9173355,14238.916015625,656.374300187394,NA,NA,0,NA,NA,NA,NA,NA,NA
"891","Vila Anchieta","Escondidinho / Prazeres","Vila Anchieta","924","925","21","2007","1","1981-08-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","854","273","IBGE - Censo Demográfico 2010","0","1.1","3","1","entre 101 e 500 domicílios",994.27338453,35428.264702,35428.2651367188,994.273384539149,"2011-01-06",NA,1,2011,1,6,NA,NA,NA
"892","Vila Angela","N","Dois de Maio","887","888","1050","2041","1","2009-03-27T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","186","53","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","< 100 domicílios",577.51489301,3003.1405646,3003.14208984375,577.514893003067,NA,NA,0,NA,NA,NA,NA,NA,NA
"893","Vila Arará","Arará / Mandela","Vila Arará","750","751","61","2011","1","1981-03-09T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","5119","1567","IBGE - Censo Demográfico 2010","0","1.1","7","1","> 500 domicílios",1728.22550861,81434.4525901,81434.4526367188,1728.22550861574,"2012-10-13",NA,1,2012,10,13,NA,NA,NA
"894","Vila Arco Íris","N","Colônia Juliano Moreira","62","62","759","2092","1","2003-02-18T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1919","588","IBGE - Censo Demográfico 2010","0","4.1","16","4","> 500 domicílios",2874.85196422,149907.827626,149907.825195312,2874.85196422096,NA,NA,0,NA,NA,NA,NA,NA,NA
"895","Vila Autódromo","N","Isolada","28","28","460","0","1","1991-09-10T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1252","356","IBGE - Censo Demográfico 2010","0","4.2","24","4","entre 101 e 500 domicílios",576.1333477,2335.32057359,2335.3203125,576.13334769664,NA,NA,0,NA,NA,NA,NA,NA,NA
"896","Vila Beira Rio","N","Bairro Proletário do Dique","510","510","349","2032","1","1981-08-06T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2584","794","IBGE - Censo Demográfico 2010","0","3.6","25","3","> 500 domicílios",2541.71949903,120469.564273,120469.567871094,2541.71949903911,NA,NA,0,NA,NA,NA,NA,NA,NA
"897","Vila Benjamim Constant","N","Isolada","805","806","40","0","1","1981-06-25T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","416","143","IBGE - Censo Demográfico 2010","0","2.1","4","2","entre 101 e 500 domicílios",462.98567665,12641.1529989,12641.15234375,462.985676646671,NA,NA,0,NA,NA,NA,NA,NA,NA
"898","Vila Bereti","N","Associação Comunitária Vila Alvorada","502","502","531","2068","1","1991-10-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","325","114","IBGE - Censo Demográfico 2010","0","3.6","22","3","entre 101 e 500 domicílios",406.18839669,6766.954878,6766.95458984375,406.188396694041,NA,NA,0,NA,NA,NA,NA,NA,NA
"899","Vila Bom Jardim","N","Isolada","263","263","866","0","1","2009-01-15T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","446","127","IBGE - Censo Demográfico 2010","0","5.2","18","5","entre 101 e 500 domicílios",633.11716564,10440.217037,10440.2192382812,633.117165644313,NA,NA,0,NA,NA,NA,NA,NA,NA
